id;tipoEquipamiento;postalCode;latitud;longitud
1661;moda-mujer--hombre--infantil;50001;41.64464287;-0.878762163
1662;moda-mujer--hombre--infantil;50001;41.64464453;-0.884412083
1663;material-construccion--saneamiento...;50001;41.6446645;-0.86493292
1664;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64466568;-0.874929686
1665;centros-de-formacion-artes-escenicas;50005;41.6446677;-0.894370321
1666;moda-mujer--hombre--infantil;50001;41.64466807;-0.895824739
1667;moda-mujer--hombre--infantil;50001;41.64466865;-0.887943445
1668;moda-mujer--hombre--infantil;50001;41.64466874;-0.89741531
1669;herboristerias--dieteticas;50001;41.64467325;-0.893126195
1670;opticas--centros-auditivos--ortopedias;50001;41.64468109;-0.876960912
1671;supermercados-grandes;50001;41.64468419;-0.878209917
1672;ludotecas;50002;41.64468468;-0.861433847
1673;instalacion-deportiva-elemental;50015;41.64468527;-0.868848251
1674;reciclaje-de-residuos;50004;41.64468767;-0.900501984
1675;centros-municipales-de-servicios-sociales;50013;41.64469178;-0.870427099
1676;organigrama-administrativo;50013;41.64469178;-0.870427099
1677;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.6446938;-0.865220124
1678;salud-y-bienestar;50008;41.64469414;-0.883609939
1679;zona-joven--ies-;50012;41.64469692;-0.92337914
1680;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50012;41.64470214;-0.926369491
1681;supermercados-grandes;50001;41.64471337;-0.881165847
1682;pintura--bricolage;50001;41.64471506;-0.864005017
1683;establecimientos-seguros;50002;41.6447208;-0.865485551
1684;panaderias--pastelerias;50001;41.64472643;-0.875964388
1685;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64473468;-0.899527032
1686;calzados--complementos--maletas;50008;41.64473653;-0.882670549
1687;espacios-de-ocio-adheridos-al-protocolo-contra-agresiones-sexistas;50009;41.64473927;-0.897848276
1688;perfumeria-cosmetica;50001;41.64473968;-0.87077601
1689;peleterias;50001;41.64477292;-0.866007582
1690;espacios-fiestas-del-pilar;50012;41.64477315;-0.930765704
1691;moda-y-complementos;50001;41.64477417;-0.896503414
1692;lencerias;50001;41.64477417;-0.896503414
1693;droguerias;50001;41.6447751;-0.888056195
1694;moda-mujer--hombre--infantil;50001;41.64477671;-0.887325984
1695;juguetes--articulos-deporte;50001;41.64477751;-0.894351493
1696;galerias-de-arte;50008;41.64477838;-0.879993855
1697;librerias--papelerias--quioscos-y-prensa;50001;41.64478157;-0.871111671
1698;opticas--centros-auditivos--ortopedias;50001;41.64478435;-0.89165181
1699;fruterias--verdulerias;50001;41.64479072;-0.866184941
1700;puntos-de-recogida-urbana-de-aceite-vegetal-usado;50006;41.64479341;-0.887185915
1701;joyerias--relojerias--bisuteria;50001;41.64479514;-0.8814535
1702;moda-mujer--hombre--infantil;50001;41.64480144;-0.883704764
1703;residencias;50009;41.6448019;-0.89913005
1704;hogares;50002;41.64480708;-0.867181838
1705;farmacias;50009;41.64480811;-0.89966645
1706;muebles;50001;41.64481207;-0.911066461
1707;carnicerias--charcuterias;50001;41.64482605;-0.875346824
1708;moda-mujer--hombre--infantil;50001;41.64482736;-0.880714841
1709;fruterias--verdulerias;50001;41.6448281;-0.895101856
1710;panaderias--pastelerias;50001;41.64484227;-0.864321524
1711;salud-y-bienestar;50005;41.64485571;-0.896215107
1712;salas-de-musica;50005;41.64485571;-0.896215107
1713;electrodomesticos--electronica--moviles--mobiliario-cocina...;50001;41.64486901;-0.887893069
